source_group,inscd,insureCd,product_name,sell_open_date,sell_end_date,renewable,kcisInsKcd,prodPbanGrpCd,kliaProdClcd,doc_type_code,doc_type_name,version,pdf_url,content_type,content_length_header,local_file,download_status,download_bytes,version_num,repo_pdf_path
main,R01663002,R01663,무배당라이나다이나믹뇌혈관질환진단특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01663002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01663002_1_P_무배당라이나다이나믹뇌혈관질환진단특약(해약환급금미지급형Ⅱ).pdf,downloaded,493114.0,1,features\policy_graph_rag\data\policy_pdfs\R01663002_1_P_무배당라이나다이나믹뇌혈관질환진단특약(해약환급금미지급형Ⅱ).pdf
main,R01676002,R01676,무배당라이나다이나믹당뇨병진단(당화혈색소기준)특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01676002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01676002_1_P_무배당라이나다이나믹당뇨병진단(당화혈색소기준)특약(해약환급금미지급형Ⅱ).pdf,downloaded,480079.0,1,features\policy_graph_rag\data\policy_pdfs\R01676002_1_P_무배당라이나다이나믹당뇨병진단(당화혈색소기준)특약(해약환급금미지급형Ⅱ).pdf
main,R01674002,R01674,무배당라이나다이나믹상급종합병원입원특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01674002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01674002_1_P_무배당라이나다이나믹상급종합병원입원특약(해약환급금미지급형Ⅱ).pdf,downloaded,547282.0,1,features\policy_graph_rag\data\policy_pdfs\R01674002_1_P_무배당라이나다이나믹상급종합병원입원특약(해약환급금미지급형Ⅱ).pdf
main,R01672003,R01672,무배당라이나다이나믹상급종합병원질병수술특약Ⅱ(해약환급금미지급형Ⅱ),20260401,99991231,N,3.0,,,P,상품약관,0,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01672003_0_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01672003_0_P_무배당라이나다이나믹상급종합병원질병수술특약Ⅱ(해약환급금미지급형Ⅱ).pdf,downloaded,544979.0,0,features\policy_graph_rag\data\policy_pdfs\R01672003_0_P_무배당라이나다이나믹상급종합병원질병수술특약Ⅱ(해약환급금미지급형Ⅱ).pdf
main,R01678002,R01678,무배당라이나다이나믹세번받는3대만성질환(고고당)중등도이상진단특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01678002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01678002_1_P_무배당라이나다이나믹세번받는3대만성질환(고고당)중등도이상진단특약(해약환급금미지급형Ⅱ).pdf,downloaded,520630.0,1,features\policy_graph_rag\data\policy_pdfs\R01678002_1_P_무배당라이나다이나믹세번받는3대만성질환(고고당)중등도이상진단특약(해약환급금미지급형Ⅱ).pdf
main,R01679002,R01679,무배당라이나다이나믹세번받는3대만성질환(고고당)중증진단특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01679002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01679002_1_P_무배당라이나다이나믹세번받는3대만성질환(고고당)중증진단특약(해약환급금미지급형Ⅱ).pdf,downloaded,519492.0,1,features\policy_graph_rag\data\policy_pdfs\R01679002_1_P_무배당라이나다이나믹세번받는3대만성질환(고고당)중증진단특약(해약환급금미지급형Ⅱ).pdf
main,R01677002,R01677,무배당라이나다이나믹세번받는3대만성질환(고고당)치료특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01677002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01677002_1_P_무배당라이나다이나믹세번받는3대만성질환(고고당)치료특약(해약환급금미지급형Ⅱ).pdf,downloaded,550653.0,1,features\policy_graph_rag\data\policy_pdfs\R01677002_1_P_무배당라이나다이나믹세번받는3대만성질환(고고당)치료특약(해약환급금미지급형Ⅱ).pdf
main,R01662002,R01662,무배당라이나다이나믹소액암진단특약(해약환급금미지급형Ⅱ),20260101,99991231,N,5.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01662002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01662002_1_P_무배당라이나다이나믹소액암진단특약(해약환급금미지급형Ⅱ).pdf,downloaded,535726.0,1,features\policy_graph_rag\data\policy_pdfs\R01662002_1_P_무배당라이나다이나믹소액암진단특약(해약환급금미지급형Ⅱ).pdf
main,R01669002,R01669,무배당라이나다이나믹수술특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01669002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01669002_1_P_무배당라이나다이나믹수술특약(해약환급금미지급형Ⅱ).pdf,downloaded,645758.0,1,features\policy_graph_rag\data\policy_pdfs\R01669002_1_P_무배당라이나다이나믹수술특약(해약환급금미지급형Ⅱ).pdf
main,R01675002,R01675,무배당라이나다이나믹원발성고혈압치료특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01675002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01675002_1_P_무배당라이나다이나믹원발성고혈압치료특약(해약환급금미지급형Ⅱ).pdf,downloaded,480876.0,1,features\policy_graph_rag\data\policy_pdfs\R01675002_1_P_무배당라이나다이나믹원발성고혈압치료특약(해약환급금미지급형Ⅱ).pdf
main,R01673002,R01673,무배당라이나다이나믹입원특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01673002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01673002_1_P_무배당라이나다이나믹입원특약(해약환급금미지급형Ⅱ).pdf,downloaded,497272.0,1,features\policy_graph_rag\data\policy_pdfs\R01673002_1_P_무배당라이나다이나믹입원특약(해약환급금미지급형Ⅱ).pdf
main,R01651002,R01651,무배당라이나다이나믹재해장해보장특약(해약환급금미지급형Ⅱ),20260101,99991231,N,4.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01651002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01651002_1_P_무배당라이나다이나믹재해장해보장특약(해약환급금미지급형Ⅱ).pdf,downloaded,1055360.0,1,features\policy_graph_rag\data\policy_pdfs\R01651002_1_P_무배당라이나다이나믹재해장해보장특약(해약환급금미지급형Ⅱ).pdf
main,R01683002,R01683,무배당라이나다이나믹중증뇌경색증진단특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01683002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01683002_1_P_무배당라이나다이나믹중증뇌경색증진단특약(해약환급금미지급형Ⅱ).pdf,downloaded,530610.0,1,features\policy_graph_rag\data\policy_pdfs\R01683002_1_P_무배당라이나다이나믹중증뇌경색증진단특약(해약환급금미지급형Ⅱ).pdf
main,R01667002,R01667,무배당라이나다이나믹중증질환자뇌혈관질환산정특례대상보장특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01667002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01667002_1_P_무배당라이나다이나믹중증질환자뇌혈관질환산정특례대상보장특약(해약환급금미지급형Ⅱ).pdf,downloaded,519030.0,1,features\policy_graph_rag\data\policy_pdfs\R01667002_1_P_무배당라이나다이나믹중증질환자뇌혈관질환산정특례대상보장특약(해약환급금미지급형Ⅱ).pdf
main,R01668002,R01668,무배당라이나다이나믹중증질환자심장질환산정특례대상보장특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01668002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01668002_1_P_무배당라이나다이나믹중증질환자심장질환산정특례대상보장특약(해약환급금미지급형Ⅱ).pdf,downloaded,529123.0,1,features\policy_graph_rag\data\policy_pdfs\R01668002_1_P_무배당라이나다이나믹중증질환자심장질환산정특례대상보장특약(해약환급금미지급형Ⅱ).pdf
main,R01671003,R01671,무배당라이나다이나믹질병수술특약Ⅱ(특정4대질병제외)(해약환급금미지급형Ⅱ),20260401,99991231,N,3.0,,,P,상품약관,0,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01671003_0_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01671003_0_P_무배당라이나다이나믹질병수술특약Ⅱ(특정4대질병제외)(해약환급금미지급형Ⅱ).pdf,downloaded,533072.0,0,features\policy_graph_rag\data\policy_pdfs\R01671003_0_P_무배당라이나다이나믹질병수술특약Ⅱ(특정4대질병제외)(해약환급금미지급형Ⅱ).pdf
main,R01670003,R01670,무배당라이나다이나믹질병수술특약Ⅱ(해약환급금미지급형Ⅱ),20260401,99991231,N,3.0,,,P,상품약관,0,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01670003_0_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01670003_0_P_무배당라이나다이나믹질병수술특약Ⅱ(해약환급금미지급형Ⅱ).pdf,downloaded,524883.0,0,features\policy_graph_rag\data\policy_pdfs\R01670003_0_P_무배당라이나다이나믹질병수술특약Ⅱ(해약환급금미지급형Ⅱ).pdf
main,R01652002,R01652,무배당라이나다이나믹질병장해보장특약(해약환급금미지급형Ⅱ),20260101,99991231,N,3.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01652002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01652002_1_P_무배당라이나다이나믹질병장해보장특약(해약환급금미지급형Ⅱ).pdf,downloaded,1054953.0,1,features\policy_graph_rag\data\policy_pdfs\R01652002_1_P_무배당라이나다이나믹질병장해보장특약(해약환급금미지급형Ⅱ).pdf
main,R01653002,R01653,무배당라이나다이나믹통합암진단특약(해약환급금미지급형Ⅱ),20260101,99991231,N,5.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01653002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01653002_1_P_무배당라이나다이나믹통합암진단특약(해약환급금미지급형Ⅱ).pdf,downloaded,575045.0,1,features\policy_graph_rag\data\policy_pdfs\R01653002_1_P_무배당라이나다이나믹통합암진단특약(해약환급금미지급형Ⅱ).pdf
main,R01661002,R01661,무배당라이나다이나믹통합전이암진단특약(해약환급금미지급형Ⅱ),20260101,99991231,N,5.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01661002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01661002_1_P_무배당라이나다이나믹통합전이암진단특약(해약환급금미지급형Ⅱ).pdf,downloaded,569510.0,1,features\policy_graph_rag\data\policy_pdfs\R01661002_1_P_무배당라이나다이나믹통합전이암진단특약(해약환급금미지급형Ⅱ).pdf
